
1	26.832	152.237	29.000
2	29.677	145.074	43.000
3	29.298	135.118	55.000
4	29.416	129.825	61.000
5	31.264	120.111	80.000
6	32.570	117.070	84.000
7	36.700	113.783	89.000
8	40.086	110.794	93.000
9	41.412	109.873	95.000
10	42.827	108.582	100.000
11	42.850	108.554	100.000
12	43.769	107.026	102.000
13	44.263	106.019	105.000
14	44.481	104.882	109.000
15	44.294	103.431	113.000
16	44.509	102.025	115.000
17	45.184	100.901	117.000
18	46.251	102.674	117.000
19	46.146	103.826	117.000
20	46.568	105.171	117.000
21	46.907	106.391	117.000
22	47.061	108.404	117.000
23	46.648	109.614	117.000
24	46.615	111.547	116.000
25	46.848	113.003	116.000
26	46.485	114.003	116.000
27	46.492	115.320	116.000
28	45.766	116.494	116.000
29	45.263	117.583	116.000
30	45.356	119.085	116.000
31	46.083	119.855	116.000
32	46.325	120.888	116.000
33	46.294	121.984	116.000
34	46.697	123.577	116.000
35	48.005	123.878	116.000
36	50.886	113.813	116.000
37	51.619	114.924	115.000
38	52.230	115.827	115.000
39	53.161	107.130	115.000
40	53.489	108.349	115.000
41	54.024	109.610	115.000
42	50.710	107.081	115.000
43	51.753	108.371	115.000
44	51.776	109.681	115.000
45	45.889	103.840	114.000
46	39.747	101.464	114.000
47	48.232	98.064	114.000
48	48.304	98.300	114.000
49	56.588	97.092	173.000
50	49.866	103.184	171.000
51	57.377	87.322	202.000
52	45.181	83.270	147.000
53	45.487	84.517	152.000
54	45.027	85.628	152.000
55	43.734	85.563	150.000
56	44.311	86.466	148.000
57	45.472	88.360	144.000
58	46.384	89.062	142.000
59	46.340	90.273	142.000
60	45.800	90.472	142.000
61	46.038	91.455	141.000
62	46.521	91.649	141.000
63	46.175	88.122	156.000
64	39.186	90.116	140.000
65	35.962	88.489	133.000
66	34.868	88.273	133.000
67	35.087	86.735	131.000
68	34.921	86.516	131.000
69	34.921	86.516	131.000
70	36.359	88.127	131.000
71	37.612	89.850	131.000
72	38.844	90.917	131.000
73	41.359	92.468	131.000
74	43.735	93.536	131.000
75	45.472	94.747	131.000
76	45.646	94.856	131.000
77	47.382	93.992	132.000

